timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-02 13:57:10,28.0,0.06192939,2.347151,,,0.07921033
2022-09-02 14:02:10,28.0,0.05961017,2.301003,,,0.118323
2022-09-02 14:07:10,28.0,0.06208689,2.402364,,,0.1492809
2022-09-02 14:12:10,28.0,0.06251622,2.36219,,,0.1500162
2022-09-02 14:17:10,28.0,0.06177571,2.478297,,,0.1572659
2022-09-02 14:22:10,28.0,0.0592532,2.319885,,,0.2314461
2022-09-02 14:27:10,28.0,0.06132062,2.370588,,,0.1434578
2022-09-02 14:32:10,28.0,0.06037575,2.373653,,,0.1184544
2022-09-02 14:37:10,28.0,0.06012022,2.351398,,,0.08711856
2022-09-02 14:42:10,28.0,0.06077035,2.221288,,,0.1302627
2022-09-02 14:47:10,28.0,0.06033377,2.373507,,,0.1123402
2022-09-02 14:52:10,28.0,0.05977152,2.325636,,,0.1091841
2022-09-02 14:57:10,28.0,0.06128047,2.428745,,,0.1022714
2022-09-02 15:02:10,28.0,0.05989641,2.366181,,,0.101716
2022-09-02 15:07:10,28.0,0.06518474,2.388642,,,0.1362382
2022-09-02 15:12:10,28.0,0.06280018,2.478151,,,0.09458909
2022-09-02 15:17:10,28.0,0.06154177,2.359378,,,0.1339817
2022-09-02 15:22:10,28.0,0.06507545,2.521485,,,0.1861347
2022-09-02 15:27:10,28.0,0.06102378,2.512766,,,0.1630624
2022-09-02 15:32:10,28.0,0.0637302,2.479756,,,0.2129912
2022-09-02 15:37:10,28.0,0.07843839,2.78669,,,0.1470561
2022-09-02 15:42:10,28.0,0.06711878,2.526794,,,0.1970206
